"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2017",21.251,
"CAN","MEATCONSUMP","BEEF","KG_CAP","A","2017",18.273,
"JPN","MEATCONSUMP","BEEF","KG_CAP","A","2017",7.001,
"KOR","MEATCONSUMP","BEEF","KG_CAP","A","2017",10.441,
"MEX","MEATCONSUMP","BEEF","KG_CAP","A","2017",9.162,
"NZL","MEATCONSUMP","BEEF","KG_CAP","A","2017",12.063,
"TUR","MEATCONSUMP","BEEF","KG_CAP","A","2017",8.599,
"USA","MEATCONSUMP","BEEF","KG_CAP","A","2017",25.939,
"ARG","MEATCONSUMP","BEEF","KG_CAP","A","2017",39.575,
"BRA","MEATCONSUMP","BEEF","KG_CAP","A","2017",25.373,
"CHL","MEATCONSUMP","BEEF","KG_CAP","A","2017",17.548,
"CHN","MEATCONSUMP","BEEF","KG_CAP","A","2017",3.523,
"COL","MEATCONSUMP","BEEF","KG_CAP","A","2017",10.49,
"EGY","MEATCONSUMP","BEEF","KG_CAP","A","2017",8.176,
"ETH","MEATCONSUMP","BEEF","KG_CAP","A","2017",2.611,
"IND","MEATCONSUMP","BEEF","KG_CAP","A","2017",0.427,
"IDN","MEATCONSUMP","BEEF","KG_CAP","A","2017",1.89,
"IRN","MEATCONSUMP","BEEF","KG_CAP","A","2017",5.459,
"ISR","MEATCONSUMP","BEEF","KG_CAP","A","2017",20.909,
"KAZ","MEATCONSUMP","BEEF","KG_CAP","A","2017",19.155,
"MYS","MEATCONSUMP","BEEF","KG_CAP","A","2017",5.219,
"NGA","MEATCONSUMP","BEEF","KG_CAP","A","2017",1.368,
"PAK","MEATCONSUMP","BEEF","KG_CAP","A","2017",6.514,
"PRY","MEATCONSUMP","BEEF","KG_CAP","A","2017",14.143,
"PER","MEATCONSUMP","BEEF","KG_CAP","A","2017",4.229,
"PHL","MEATCONSUMP","BEEF","KG_CAP","A","2017",3.162,
"RUS","MEATCONSUMP","BEEF","KG_CAP","A","2017",9.842,
"SAU","MEATCONSUMP","BEEF","KG_CAP","A","2017",3.715,
"ZAF","MEATCONSUMP","BEEF","KG_CAP","A","2017",12.067,
"THA","MEATCONSUMP","BEEF","KG_CAP","A","2017",1.389,
"UKR","MEATCONSUMP","BEEF","KG_CAP","A","2017",5.016,
"VNM","MEATCONSUMP","BEEF","KG_CAP","A","2017",10.584,
"WLD","MEATCONSUMP","BEEF","KG_CAP","A","2017",6.375,
"OECD","MEATCONSUMP","BEEF","KG_CAP","A","2017",14.259,
"BRICS","MEATCONSUMP","BEEF","KG_CAP","A","2017",4.09,
"NOR","MEATCONSUMP","BEEF","KG_CAP","A","2017",13.71,
"CHE","MEATCONSUMP","BEEF","KG_CAP","A","2017",13.415,
"GBR","MEATCONSUMP","BEEF","KG_CAP","A","2017",11.706,
